disease,diseaseClass,genes
Chorioamnionitis,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities,ADM
HELLP Syndrome,Female Urogenital,ADM
Constriction-Pathologic,Pathological Conditions,ADM
Systemic Inflammatory Response Syndrome,Pathological Conditions,ADM
Shock-Septic,Bacterial Infections and Mycoses; Pathological Conditions,ADM
Hypertension-Pulmonary,Respiratory Tract ,ADM
Arrhythmias-Cardiac,Cardiovascular ; Pathological Conditions,ADM
Adrenocortical Adenoma, Endocrine System ,ADM
Stroke,Nervous System ; Cardiovascular ,ADM
Glomerulonephritis-IGA,Urogenital; Immune System ,ADM
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,ADM
Arterial Occlusive Diseases,Cardiovascular ,ADM
Pyelonephritis,Urogenital,ADM
Uveitis,Eye ,ADM
Hypotension,Cardiovascular ,ADM
Ureteral Obstruction,Urogenital,ADM
Insulin Resistance,Nutritional and Metabolic ,ADIPOR1
Glucose Intolerance,Nutritional and Metabolic ,ADIPOR1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ADIPOR1
Coronary Artery Disease,Cardiovascular ,ADIPOR1
Prostatic Neoplasms, Male Urogenital ,ADIPOR1
Stomach Neoplasms, Digestive System ,ADIPOR1
Colorectal Neoplasms, Digestive System ,ADIPOR1
Breast Neoplasms, Skin and Connective Tissue ,ADIPOR1
Adenocarcinoma,Neoplasms,ADIPOR1
Inflammation,Pathological Conditions,ADIPOR1
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,ADIPOR1
Hepatitis C-Chronic,Virus ; Digestive System ,ADIPOR1
Gastrointestinal Stromal Tumors, Digestive System ,ADIPOR1
Fatty Liver,Digestive System ,ADIPOR1
Liver Cirrhosis,Digestive System ,ADIPOR1
Diabetic Ketoacidosis,Nutritional and Metabolic ; Endocrine System ,ACP1
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ACP1
Hyperlipidemias,Nutritional and Metabolic ,ACP1
Fetal Growth Retardation,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,ACP1
Pregnancy in Diabetics,Female Urogenital,ACP1
Prenatal Exposure Delayed Effects,Female Urogenital,ACP1
Obesity,Nutritional and Metabolic ; Pathological Conditions,ACP1
Tourette Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Mental Disorders,ACP1
Attention Deficit Disorder with Hyperactivity,Mental Disorders,ACP1
Neuroblastoma,Neoplasms,ACP1
Colonic Neoplasms, Digestive System ,ACP1
Endometriosis,Female Urogenital,ACP1
Abortion-Spontaneous,Female Urogenital,ACP1
Tuberculosis,Bacterial Infections and Mycoses,ACP1
Adenocarcinoma,Neoplasms,ACE
RENAL TUBULAR DYSGENESIS,Unclassified,ACE
Alzheimer Disease,Nervous System ; Mental Disorders,ACE
Arrhythmias-Cardiac,Cardiovascular ; Pathological Conditions,ACE
Atrial Fibrillation,Cardiovascular ; Pathological Conditions,ACE
Berylliosis,Respiratory Tract ; Occupational ,ACE
Brain Ischemia,Nervous System ; Cardiovascular ,ACE
Carcinoma-Hepatocellular, Digestive System ,ACE
Cardiovascular Diseases,Cardiovascular ,ACE
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,ACE
Coronary Artery Disease,Cardiovascular ,ACE
Coronary Disease,Cardiovascular ,ACE
Coronary Restenosis,Cardiovascular ,ACE
Death-Sudden,Pathological Conditions,ACE
Diabetic Nephropathies,Urogenital; Endocrine System ,ACE
Gaucher Disease,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ACE
Glomerulonephritis-IGA,Urogenital; Immune System ,ACE
Heart Failure,Cardiovascular ,ACE
Hypertension-Pulmonary,Respiratory Tract ,ACE
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,ACE
Hypotension,Cardiovascular ,ACE
Infant-Premature-Diseases,Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Infertility-Male,Male Urogenital ,ACE
Kidney Diseases,Urogenital,ACE
Kidney Failure-Chronic,Urogenital,ACE
Lung Diseases,Respiratory Tract ,ACE
Lung Neoplasms, Respiratory Tract ,ACE
Meningococcal Infections,Bacterial Infections and Mycoses,ACE
MICROVASCULAR COMPLICATIONS OF DIABETES-SUSCEPTIBILITY TO-1,Cardiovascular ; Endocrine System ; Urogenital; Eye ,ACE
MICROVASCULAR COMPLICATIONS OF DIABETES-SUSCEPTIBILITY TO-3,Cardiovascular ; Endocrine System ,ACE
Myocardial Infarction,Cardiovascular ,ACE
Myophosphorylase deficiency,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ACE
Pneumonia-Viral,Virus ; Respiratory Tract ,ACE
Pre-Eclampsia,Female Urogenital,ACE
Prostatic Neoplasms, Male Urogenital ,ACE
Psychoses-Substance-Induced,Substance-Related Disorders; Mental Disorders,ACE
Renal Insufficiency,Urogenital,ACE
Respiratory Tract Diseases,Respiratory Tract ,ACE
Severe Acute Respiratory Syndrome,Virus ; Respiratory Tract ,ACE
Stroke,Nervous System ; Cardiovascular ,ACE
Hypertension,Cardiovascular ,ACE
Emergencies,Pathological Conditions,ACE
Hemorrhage,Pathological Conditions,ACE
Postoperative Complications,Pathological Conditions,ACE
Proteinuria,Urogenital; Pathological Conditions,ACE
Hyponatremia,Nutritional and Metabolic ,ACE
Schizophrenia,Mental Disorders,ACE
Urologic Diseases,Urogenital,ACE
Arteriosclerosis,Cardiovascular ,ACE
Cardiomyopathy-Dilated,Cardiovascular ,ACE
Albuminuria,Urogenital; Pathological Conditions,ACE
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ACE
Disease Progression,Pathological Conditions,ACE
Esophageal and Gastric Varices,Digestive System ,ACE
Liver Cirrhosis-Alcoholic,Digestive System ; Substance-Related Disorders,ACE
Metabolic Syndrome X,Nutritional and Metabolic ,ACE
Abortion-Habitual,Female Urogenital,ACE
Insulin Resistance,Nutritional and Metabolic ,ACE
Vascular Diseases,Cardiovascular ,ACE
Pregnancy Complications-Cardiovascular,Female Urogenital; Cardiovascular ,ACE
Cough,Respiratory Tract ; Pathological Conditions,ACE
Alcoholism,Substance-Related Disorders; Mental Disorders,ACE
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,ACE
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,ACE
Obesity,Nutritional and Metabolic ; Pathological Conditions,ACE
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,ACE
Polycythemia,Hemic and Lymphatic ,ACE
Memory Disorders,Nervous System ; Pathological Conditions; Behavior and Behavior Mechanisms,ACE
Myocardial Ischemia,Cardiovascular ,ACE
Hypertension-Renal,Urogenital; Cardiovascular ,ACE
Polycystic Kidney-Autosomal Dominant,Urogenital,ACE
Respiratory Distress Syndrome-Adult,Respiratory Tract ,ACE
Acute Disease,Pathological Conditions,ACE
Parkinson Disease,Nervous System ,ACE
Carotid Stenosis,Nervous System ; Cardiovascular ,ACE
Fibromuscular Dysplasia,Cardiovascular ,ACE
Chromosome Deletion,Pathological Conditions,ACE
Brain Infarction,Nervous System ; Cardiovascular ,ACE
Cerebral Arterial Diseases,Nervous System ; Cardiovascular ,ACE
Syndrome,Pathological Conditions,ACE
Lupus Nephritis,Urogenital; Skin and Connective Tissue ; Immune System ,ACE
Cardiovascular Abnormalities,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,ACE
Cardiac Output-Low,Cardiovascular ; Pathological Conditions,ACE
Vesico-Ureteral Reflux,Urogenital,ACE
Sclerosis,Pathological Conditions,ACE
Angina-Unstable,Cardiovascular ; Pathological Conditions,ACE
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ACE
Hypercholesterolemia,Nutritional and Metabolic ,ACE
Cholestasis,Digestive System ,ACE
Pregnancy Complications,Female Urogenital,ACE
Blood Coagulation Disorders,Hemic and Lymphatic ,ACE
Sarcoidosis,Hemic and Lymphatic ,ACE
Nephrosclerosis,Urogenital,ACE
Mood Disorders,Mental Disorders,ACE
Cardiomyopathy-Alcoholic,Cardiovascular ; Substance-Related Disorders,ACE
Ventricular Dysfunction-Left,Cardiovascular ,ACE
Hyperlipidemias,Nutritional and Metabolic ,ACE
Lung Diseases-Obstructive,Respiratory Tract ,ACE
Hypertrophy-Right Ventricular,Cardiovascular ; Pathological Conditions,ACE
Mitral Valve Prolapse,Cardiovascular ,ACE
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,ACE
Vasculitis,Cardiovascular ,ACE
Nephritis,Urogenital,ACE
Retinal Diseases,Eye ,ACE
Hemolytic-Uremic Syndrome,Urogenital; Hemic and Lymphatic ,ACE
Hypertension-Malignant,Cardiovascular ,ACE
Scleroderma-Systemic,Skin and Connective Tissue ,ACE
Hyperglycemia,Nutritional and Metabolic ,ACE
Sarcoidosis-Pulmonary,Respiratory Tract ; Hemic and Lymphatic ,ACE
Tuberculosis-Pulmonary,Bacterial Infections and Mycoses; Respiratory Tract ,ACE
Intracranial Aneurysm,Nervous System ; Cardiovascular ,ACE
Aneurysm-Ruptured,Cardiovascular ,ACE
Myotonic Dystrophy,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Pulmonary Embolism,Respiratory Tract ; Cardiovascular ,ACE
Venous Thrombosis,Cardiovascular ,ACE
Protein C Deficiency,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Protein S Deficiency,Hemic and Lymphatic ,ACE
Thrombophilia,Hemic and Lymphatic ,ACE
Glucose Intolerance,Nutritional and Metabolic ,ACE
Carotid Artery Diseases,Nervous System ; Cardiovascular ,ACE
Bipolar Disorder,Mental Disorders,ACE
Glomerulonephritis,Urogenital,ACE
Chronic Disease,Pathological Conditions,ACE
Anemia,Hemic and Lymphatic ,ACE
Recurrence,Pathological Conditions,ACE
Intracranial Arteriosclerosis,Nervous System ; Cardiovascular ,ACE
Fatigue Syndrome-Chronic,Virus ; Musculoskeletal ; Nervous System ,ACE
Tobacco Use Disorder,Substance-Related Disorders; Mental Disorders,ACE
Cicatrix,Pathological Conditions,ACE
Hydronephrosis,Urogenital,ACE
Stomach Neoplasms, Digestive System ,ACE
Colorectal Neoplasms, Digestive System ,ACE
Breast Neoplasms, Skin and Connective Tissue ,ACE
Neoplasms,Neoplasms,ACE
Inflammatory Bowel Diseases,Digestive System ,ACE
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,ACE
Endometriosis,Female Urogenital,ACE
Erectile Dysfunction,Male Urogenital ; Mental Disorders,ACE
Leukemia-Myeloid-Acute,Neoplasms,ACE
Leukemia,Neoplasms,ACE
Abortion-Spontaneous,Female Urogenital,ACE
Venous Thromboembolism,Cardiovascular ,ACE
Hypertriglyceridemia,Nutritional and Metabolic ,ACE
Dermatitis-Allergic Contact,Skin and Connective Tissue ; Immune System ,ACE
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,ACE
Esophageal Neoplasms, Digestive System ,ACE
Nephrotic Syndrome,Urogenital,ACE
Wounds and Injuries,Wounds and Injuries,ACE
Psoriasis,Skin and Connective Tissue ,ACE
Cardiomegaly,Cardiovascular ; Pathological Conditions,ACE
Fibrosis,Pathological Conditions,ACE
Tuberculosis,Bacterial Infections and Mycoses,ACE
Macular Degeneration,Eye ,ACE
Asthma,Respiratory Tract ; Immune System ,ACE
Coronary Stenosis,Cardiovascular ,ACE
Spondylitis-Ankylosing,Musculoskeletal ,ACE
Hepatitis C,Virus ; Digestive System ,ACE
Glaucoma-Open-Angle,Eye ,ACE
Aortic Valve Stenosis,Cardiovascular ,ACE
Migraine Disorders,Nervous System ,ACE
Migraine with Aura,Nervous System ,ACE
Leiomyoma,Neoplasms,ACE
Hypertrophy,Pathological Conditions,ACE
Cardiomyopathy-Hypertrophic,Cardiovascular ,ACE
Peripheral Nervous System Diseases,Nervous System ,ACE
Cardiomyopathies,Cardiovascular ,ACE
Glomerulosclerosis-Focal Segmental,Urogenital,ACE
Dementia-Vascular,Nervous System ; Cardiovascular ; Mental Disorders,ACE
Connective Tissue Diseases,Skin and Connective Tissue ,ACE
Hernia-Hiatal,Pathological Conditions,ACE
Hypotension-Orthostatic,Nervous System ; Cardiovascular ,ACE
Urticaria,Skin and Connective Tissue ; Immune System ,ACE
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,ACE
Hyperhomocysteinemia,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ACE
Peripheral Vascular Diseases,Cardiovascular ,ACE
Bronchopulmonary Dysplasia,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Subacute Sclerosing Panencephalitis,Virus ; Nervous System ,ACE
Aortic Aneurysm-Abdominal,Cardiovascular ,ACE
Hypoglycemia,Nutritional and Metabolic ,ACE
Arthritis-Psoriatic,Musculoskeletal ; Skin and Connective Tissue ,ACE
Spondylarthropathies,Musculoskeletal ,ACE
Leukoaraiosis,Pathological Conditions,ACE
Fatigue,Pathological Conditions,ACE
Tachycardia,Cardiovascular ; Pathological Conditions,ACE
Retinopathy of Prematurity,Eye ; Congenital-Hereditary-and Neonatal  and Abnormalities,ACE
Glycogen Storage Disease Type V,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ACE
Back Pain,Nervous System ; Pathological Conditions,ACE
Water Intoxication,Nutritional and Metabolic ; Substance-Related Disorders,ACE
Pulmonary Edema,Respiratory Tract ,ACE
Acute Kidney Injury,Urogenital,TNF
Adenocarcinoma,Neoplasms,TNF
Alzheimer Disease,Nervous System ; Mental Disorders,TNF
Anemia,Hemic and Lymphatic ,TNF
Anemia-Refractory,Hemic and Lymphatic ,TNF
Anemia-Sickle Cell,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,TNF
Arsenic Poisoning,Nervous System ; Substance-Related Disorders,TNF
Arthritis-Experimental,Musculoskeletal ,TNF
Arthritis-Psoriatic,Musculoskeletal ; Skin and Connective Tissue ,TNF
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,TNF
Asthma,Respiratory Tract ; Immune System ,TNF
Berylliosis,Respiratory Tract ; Occupational ,TNF
Brain Injuries,Nervous System ; Wounds and Injuries,TNF
Brain Ischemia,Nervous System ; Cardiovascular ,TNF
Breast Neoplasms, Skin and Connective Tissue ,TNF
Bronchiectasis,Respiratory Tract ,TNF
Cachexia,Pathological Conditions,TNF
Cardiomegaly,Cardiovascular ; Pathological Conditions,TNF
Cardiovirus Infections,Virus ,TNF
Coronary Restenosis,Cardiovascular ,TNF
Crohn Disease,Digestive System ,TNF
Dermatitis-Allergic Contact,Skin and Connective Tissue ; Immune System ,TNF
Dermatomyositis,Musculoskeletal ; Nervous System ; Skin and Connective Tissue ,TNF
Diabetes Mellitus-Experimental,Nutritional and Metabolic ; Endocrine System ,TNF
Diabetic Cardiomyopathies,Cardiovascular ; Endocrine System ,TNF
Drug Hypersensitivity,Immune System ,TNF
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,TNF
Fever,Pathological Conditions,TNF
Fibromatosis-Aggressive,Neoplasms,TNF
Glomerulonephritis,Urogenital,TNF
Heart Arrest,Cardiovascular ,TNF
Heart Failure,Cardiovascular ,TNF
Hemochromatosis,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,TNF
Hemolytic-Uremic Syndrome,Urogenital; Hemic and Lymphatic ,TNF
Hepatic Encephalopathy,Digestive System ; Nervous System ; Nutritional and Metabolic ,TNF
Hernia-Hiatal,Pathological Conditions,TNF
HIV Wasting Syndrome,Virus ; Nutritional and Metabolic ; Immune System ,TNF
Hyperalgesia,Nervous System ; Pathological Conditions,TNF
Hyperbilirubinemia,Pathological Conditions,TNF
Hypercalcemia,Nutritional and Metabolic ,TNF
Hyperhomocysteinemia,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,TNF
Hypersensitivity,Immune System ,TNF
Hypoglycemia,Nutritional and Metabolic ,TNF
Hypotension,Cardiovascular ,TNF
Hypothermia,Pathological Conditions,TNF
Infection,Bacterial Infections and Mycoses,TNF
Inflammation,Pathological Conditions,TNF
Inflammatory Bowel Diseases,Digestive System ,TNF
Insulin Resistance,Nutritional and Metabolic ,TNF
Leishmaniasis,Parasitic ; Skin and Connective Tissue ,TNF
Leishmaniasis-Cutaneous,Parasitic ; Skin and Connective Tissue ,TNF
Leishmaniasis-Visceral,Parasitic ,TNF
Listeriosis,Bacterial Infections and Mycoses,TNF
Liver Cirrhosis-Experimental,Digestive System ,TNF
Liver Diseases,Digestive System ,TNF
Liver Failure-Acute,Digestive System ,TNF
Lung Diseases,Respiratory Tract ,TNF
Lung Neoplasms, Respiratory Tract ,TNF
Malaria,Parasitic ,TNF
Melanoma,Neoplasms,TNF
Migraine Disorders,Nervous System ,TNF
Mitochondrial Myopathies,Musculoskeletal ; Nervous System ; Nutritional and Metabolic ,TNF
Multiple Organ Failure,Pathological Conditions,TNF
Myocardial Stunning,Cardiovascular ,TNF
Myocarditis,Cardiovascular ,TNF
Nausea,Pathological Conditions,TNF
Necrosis,Pathological Conditions,TNF
Neoplasm Metastasis, Pathological Conditions,TNF
Neoplasms-Experimental,Neoplasms,TNF
Nerve Degeneration,Pathological Conditions,TNF
Nervous System Diseases,Nervous System ,TNF
Neuralgia,Nervous System ; Pathological Conditions,TNF
Obesity,Nutritional and Metabolic ; Pathological Conditions,TNF
Oral Submucous Fibrosis,Stomatognathic ,TNF
Osteoporosis-Postmenopausal,Musculoskeletal ,TNF
Pain,Nervous System ; Pathological Conditions; Psychological Phenomena and Processes,TNF
Pancreatic Neoplasms, Digestive System ; Endocrine System ,TNF
Peripheral Nervous System Diseases,Nervous System ,TNF
PLASMODIUM FALCIPARUM BLOOD INFECTION LEVEL,Parasitic ,TNF
Polymyositis,Musculoskeletal ; Nervous System ,TNF
Psoriasis,Skin and Connective Tissue ,TNF
Pulmonary Fibrosis,Respiratory Tract ,TNF
Reperfusion Injury,Cardiovascular ; Pathological Conditions,TNF
Respiratory Hypersensitivity,Respiratory Tract ; Immune System ,TNF
Sarcoma,Neoplasms,TNF
Schizophrenia,Mental Disorders,TNF
Scleroderma-Localized,Skin and Connective Tissue ,TNF
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,TNF
Skin Diseases,Skin and Connective Tissue ,TNF
Soft Tissue Neoplasms,Neoplasms,TNF
Spinal Cord Compression,Nervous System ; Wounds and Injuries,TNF
Status Epilepticus,Nervous System ,TNF
Stomach Neoplasms, Digestive System ,TNF
Stomach Ulcer,Digestive System ,TNF
Tachycardia,Cardiovascular ; Pathological Conditions,TNF
Thrombosis,Cardiovascular ,TNF
Urticaria,Skin and Connective Tissue ; Immune System ,TNF
Vascular Diseases,Cardiovascular ,TNF
Vascular System Injuries,Cardiovascular ; Wounds and Injuries,TNF
Weight Gain,Pathological Conditions,TNF
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,TNF
Graves Disease,Eye ; Endocrine System ; Immune System ,TNF
Thyroiditis-Autoimmune,Endocrine System ; Immune System ,TNF
Burns,Wounds and Injuries,TNF
Rhinitis,Respiratory Tract ; Otorhinolaryngologic ,TNF
Acute Disease,Pathological Conditions,TNF
Malaria-Falciparum,Parasitic ,TNF
Paraparesis-Tropical Spastic,Virus ; Nervous System ,TNF
Leukemia-Lymphoma-Adult T-Cell, Hemic and Lymphatic ; Immune System ,TNF
Helicobacter Infections,Bacterial Infections and Mycoses,TNF
Gastritis-Atrophic,Digestive System ,TNF
Chronic Disease,Pathological Conditions,TNF
Kidney Failure-Chronic,Urogenital,TNF
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,TNF
Hepatitis C-Chronic,Virus ; Digestive System ,TNF
Liver Cirrhosis,Digestive System ,TNF
Periodontitis,Stomatognathic ,TNF
Colitis-Ulcerative,Digestive System ,TNF
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,TNF
Fetal Membranes-Premature Rupture,Female Urogenital,TNF
Pancreatitis,Digestive System ,TNF
Endometriosis,Female Urogenital,TNF
Dementia,Nervous System ; Mental Disorders,TNF
